doi	author_priority	topic	in_corpus	radar_priority	direction	direction_name	publication_date	bucket_date	scorer_version	title	relevance_to_user	summary_motivation	daily_page_url	miss_reason	verdict
10.1016/j.clinbiomech.2008.11.003	must_read	直接应力遮挡	false											out_of_window	missing_must_read
10.1016/j.clinbiomech.2009.03.009	must_read	初始稳定性	false											out_of_window	missing_must_read
10.1016/j.clinbiomech.2011.08.004	must_read	初始稳定性	false											out_of_window	missing_must_read
10.1080/10255842.2015.1006209	must_read	FEA方法	false											direction_mismatch_likely	missing_must_read
10.1371/journal.pone.0155612	must_read	真实载荷	false											direction_mismatch_likely	missing_must_read
10.1016/j.jbiomech.2004.05.022	must_read	真实载荷	false											out_of_window	missing_must_read
10.1115/1.4041208	must_read	多孔梯度柄	false											direction_mismatch_likely	missing_must_read
10.1016/j.jmbbm.2017.10.019	must_read	FEA方法	true	Medium	am_biomedical	AM Biomedical Materials	2018-01-01	2018-01-01	v3	Development and in vitro validation of a simplified numerical model for the design of a biomimetic femoral stem.	该论文直接研究多孔结构对股骨柄应力遮挡的影响，并使用LPBF制造和力学测试，但缺少疲劳和表面形貌表征。	减少金属股骨柄的应力遮挡及其导致的骨吸收	https://prezblublu-sun.github.io/research-radar/2018-01-01.html#doi-10-1016-j-jmbbm-2017-10-019		correct_must_read
10.1186/s13018-020-01927-9	must_read	FEA方法	false											direction_mismatch_likely	missing_must_read
10.3390/jcm12093138	must_read	直接应力遮挡	true	Low	hip_implant	Hip Implant & Femoral Stem	2023-04-26	2023-04-26	v3	Relationship between Stress Shielding and Optimal Femoral Canal Contact Regions for Short, Tapered-Wedge Stem Analyzed by 2D and 3D Systems in Total Hip Arthroplasty	该论文通过临床影像分析短柄假体与股骨管接触区域对应力遮挡的影响，但未涉及有限元分析或微动量化，因此对髋关节植入物FE研究仅提供背景参考。	确定短柄假体最优股骨管接触区域以减少应力遮挡	https://prezblublu-sun.github.io/research-radar/2023-04-26.html#doi-10-3390-jcm12093138		under_scored
10.1186/s13018-022-03492-9	must_read	综述	true	Medium	am_biomedical	AM Biomedical Materials	2023-01-16	2023-01-16	v3	Additively manufactured controlled porous orthopedic joint replacement designs to reduce bone stress shielding: a systematic review.	该论文系统综述了多孔植入物设计减少应力屏蔽的方法，直接相关但无新实验数据。	综述多孔关节植入物设计以减少应力屏蔽的现状。	https://prezblublu-sun.github.io/research-radar/2023-01-16.html#doi-10-1186-s13018-022-03492-9		correct_must_read
10.3389/fbioe.2021.772539	must_read	综述	true	Medium	am_biomedical	AM Biomedical Materials	2021-01-01	2021-01-01	v3	Femoral Stems With Porous Lattice Structures: A Review.	该综述直接关注多孔股骨柄设计以减少应力遮挡和促进骨长入，与应用在AM生物医学材料方向的应力遮挡定量评估和疲劳性能验证高度相关。	综述多孔股骨柄设计，探讨降低应力遮挡和促进骨长入的可能性。	https://prezblublu-sun.github.io/research-radar/2021-01-01.html#doi-10-3389-fbioe-2021-772539		correct_must_read
10.1002/jor.70079	must_read	初始稳定性	false											direction_mismatch_likely	missing_must_read
10.1038/s41598-024-61305-x	must_read	FEA方法	false											direction_mismatch_likely	missing_must_read
